matrix_index,biokorf_side_id,side_effect_name,kg_available,embedding_row
117,BIOKORF_SIDE_117,blood glucose increased,False,117
118,BIOKORF_SIDE_118,blood lactate dehydrogenase increased,False,118
119,BIOKORF_SIDE_119,blood phosphorus decreased,False,119
120,BIOKORF_SIDE_120,blood potassium decreased,False,120
121,BIOKORF_SIDE_121,blood potassium increased,False,121
122,BIOKORF_SIDE_122,blood pressure increased,True,122
123,BIOKORF_SIDE_123,blood prolactin increased,False,123
124,BIOKORF_SIDE_124,blood triglycerides increased,False,124
125,BIOKORF_SIDE_125,blood urea increased,True,125
126,BIOKORF_SIDE_126,blood uric acid increased,False,126
127,BIOKORF_SIDE_127,blood urine present,False,127
128,BIOKORF_SIDE_128,body temperature decreased,True,128
129,BIOKORF_SIDE_129,body temperature increased,True,129
130,BIOKORF_SIDE_130,bone disorder,False,130
131,BIOKORF_SIDE_131,bone pain,True,131
132,BIOKORF_SIDE_132,bradycardia,True,132
133,BIOKORF_SIDE_133,loss of motor function,False,133
134,BIOKORF_SIDE_134,brain oedema,False,134
135,BIOKORF_SIDE_135,breast cancer,False,135
136,BIOKORF_SIDE_136,breast discharge,False,136
137,BIOKORF_SIDE_137,breast disorder,False,137
138,BIOKORF_SIDE_138,breast engorgement,False,138
139,BIOKORF_SIDE_139,breast enlargement,True,139
140,BIOKORF_SIDE_140,breast neoplasm,False,140
141,BIOKORF_SIDE_141,breast pain,False,141
142,BIOKORF_SIDE_142,breast tenderness,False,142
143,BIOKORF_SIDE_143,breath odour,False,143
144,BIOKORF_SIDE_144,breath sounds abnormal,False,144
145,BIOKORF_SIDE_145,reactive airways disease,False,145
146,BIOKORF_SIDE_146,bronchitis,False,146
147,BIOKORF_SIDE_147,bronchospasm,True,147
148,BIOKORF_SIDE_148,bronchospasm paradoxical,False,148
149,BIOKORF_SIDE_149,bruxism,False,149
150,BIOKORF_SIDE_150,bundle branch block,False,150
151,BIOKORF_SIDE_151,burning sensation,False,151
152,BIOKORF_SIDE_152,bursitis,False,152
153,BIOKORF_SIDE_153,cachexia,True,153
154,BIOKORF_SIDE_154,candida infection,False,154
155,BIOKORF_SIDE_155,cardiac arrest,False,155
156,BIOKORF_SIDE_156,cardiac disorder,True,156
157,BIOKORF_SIDE_157,cardiac failure,True,157
158,BIOKORF_SIDE_158,cardiac failure congestive,True,158
159,BIOKORF_SIDE_159,cardiac flutter,False,159
160,BIOKORF_SIDE_160,cardiac murmur,True,160
161,BIOKORF_SIDE_161,cardiac output decreased,False,161
162,BIOKORF_SIDE_162,cardiogenic shock,False,162
163,BIOKORF_SIDE_163,cardiac dilatation,False,163
164,BIOKORF_SIDE_164,cardiomyopathy,False,164
165,BIOKORF_SIDE_165,cardiovascular disorder,True,165
166,BIOKORF_SIDE_166,carpal tunnel syndrome,False,166
167,BIOKORF_SIDE_167,cataract,True,167
168,BIOKORF_SIDE_168,catheter site pain,False,168
169,BIOKORF_SIDE_169,cellulitis,True,169
170,BIOKORF_SIDE_170,cerebellar syndrome,False,170
171,BIOKORF_SIDE_171,cerebral haemorrhage,False,171
172,BIOKORF_SIDE_172,cerebral infarction,True,172
173,BIOKORF_SIDE_173,cerebral ischaemia,True,173
174,BIOKORF_SIDE_174,cerebrovascular accident,True,174
175,BIOKORF_SIDE_175,cerebrovascular disorder,False,175
176,BIOKORF_SIDE_176,cervix disorder,False,176
177,BIOKORF_SIDE_177,change of bowel habit,False,177
178,BIOKORF_SIDE_178,cheilitis,True,178
179,BIOKORF_SIDE_179,chest discomfort,False,179
180,BIOKORF_SIDE_180,chest pain,True,180
181,BIOKORF_SIDE_181,chills,True,181
182,BIOKORF_SIDE_182,cholecystitis,True,182
183,BIOKORF_SIDE_183,biliary sludge,False,183
184,BIOKORF_SIDE_184,cholestasis,True,184
185,BIOKORF_SIDE_185,chorea and atheletes disease,False,185
186,BIOKORF_SIDE_186,color vision change,False,186
187,BIOKORF_SIDE_187,urine discolouration,False,187
188,BIOKORF_SIDE_188,chronic obstructive pulmonary disease,False,188
189,BIOKORF_SIDE_189,clostridium difficile colitis,False,189
190,BIOKORF_SIDE_190,coagulopathy,True,190
191,BIOKORF_SIDE_191,cognitive disorder,False,191
192,BIOKORF_SIDE_192,cold sweat,False,192
193,BIOKORF_SIDE_193,colitis,True,193
194,BIOKORF_SIDE_194,colitis ischaemic,False,194
195,BIOKORF_SIDE_195,colitis ulcerative,False,195
196,BIOKORF_SIDE_196,coma,True,196
197,BIOKORF_SIDE_197,completed suicide,False,197
198,BIOKORF_SIDE_198,conduction disorder,True,198
199,BIOKORF_SIDE_199,confusion state,False,199
200,BIOKORF_SIDE_200,congenital eye disorder,True,200
201,BIOKORF_SIDE_201,conjunctival haemorrhage,False,201
202,BIOKORF_SIDE_202,congestion conjunctival,False,202
203,BIOKORF_SIDE_203,conjunctival oedema,False,203
204,BIOKORF_SIDE_204,conjunctivitis,True,204
205,BIOKORF_SIDE_205,conjunctivitis allergic,False,205
206,BIOKORF_SIDE_206,connective tissue disorder,False,206
207,BIOKORF_SIDE_207,constipation,True,207
208,BIOKORF_SIDE_208,contusion,True,208
209,BIOKORF_SIDE_209,conversion disorder,False,209
210,BIOKORF_SIDE_210,coordination abnormal,False,210
211,BIOKORF_SIDE_211,corneal erosion,False,211
212,BIOKORF_SIDE_212,corneal lesion,False,212
213,BIOKORF_SIDE_213,corneal opacity,True,213
214,BIOKORF_SIDE_214,coronary artery disease,False,214
215,BIOKORF_SIDE_215,cough,True,215
216,BIOKORF_SIDE_216,regional enteritis of unspecified site,False,216
217,BIOKORF_SIDE_217,crying,False,217
218,BIOKORF_SIDE_218,cushing syndrome,False,218
219,BIOKORF_SIDE_219,cyanosis,False,219
220,BIOKORF_SIDE_220,cyst,False,220
221,BIOKORF_SIDE_221,cystitis,False,221
222,BIOKORF_SIDE_222,cystitis haemorrhagic,False,222
223,BIOKORF_SIDE_223,cystitis non infective,False,223
224,BIOKORF_SIDE_224,deafness,True,224
225,BIOKORF_SIDE_225,decreased appetite,True,225
226,BIOKORF_SIDE_226,deep vein thrombosis,True,226
227,BIOKORF_SIDE_227,dehydration,True,227
228,BIOKORF_SIDE_228,delirium,True,228
229,BIOKORF_SIDE_229,delusion,True,229
230,BIOKORF_SIDE_230,dementia,True,230
231,BIOKORF_SIDE_231,dental caries,False,231
232,BIOKORF_SIDE_232,depressed level of consciousness,False,232
233,BIOKORF_SIDE_233,depressed mood,False,233
234,BIOKORF_SIDE_234,depression,True,234
235,BIOKORF_SIDE_235,feeling unreal,False,235
236,BIOKORF_SIDE_236,dermatitis,True,236
237,BIOKORF_SIDE_237,dermatitis acne,False,237
238,BIOKORF_SIDE_238,dermatitis atopic,False,238
239,BIOKORF_SIDE_239,dermatitis bullous,False,239
240,BIOKORF_SIDE_240,dermatitis contact,False,240
241,BIOKORF_SIDE_241,dermatitis exfoliating,False,241
242,BIOKORF_SIDE_242,diabetes mellitus,True,242
243,BIOKORF_SIDE_243,diarrhoea,True,243
244,BIOKORF_SIDE_244,diarrhoea haemorrhagic,False,244
245,BIOKORF_SIDE_245,diplopia,True,245
246,BIOKORF_SIDE_246,discomfort,False,246
247,BIOKORF_SIDE_247,disorientation,False,247
248,BIOKORF_SIDE_248,disseminated intravascular coagulation,True,248
249,BIOKORF_SIDE_249,disturbance in attention,False,249
250,BIOKORF_SIDE_250,disturbance in sexual arousal,False,250
251,BIOKORF_SIDE_251,diverticulitis,False,251
252,BIOKORF_SIDE_252,dizziness,True,252
253,BIOKORF_SIDE_253,dizziness postural,False,253
254,BIOKORF_SIDE_254,drug eruption,False,254
255,BIOKORF_SIDE_255,drug hypersensitivity,False,255
256,BIOKORF_SIDE_256,drug ineffective,False,256
257,BIOKORF_SIDE_257,dry eye,False,257
258,BIOKORF_SIDE_258,dry mouth,True,258
259,BIOKORF_SIDE_259,dry skin,True,259
260,BIOKORF_SIDE_260,dry throat,False,260
261,BIOKORF_SIDE_261,duodenal ulcer,False,261
262,BIOKORF_SIDE_262,duodenal inflammation,False,262
263,BIOKORF_SIDE_263,paresthesia,True,263
264,BIOKORF_SIDE_264,dysarthria,True,264
265,BIOKORF_SIDE_265,bad taste,False,265
266,BIOKORF_SIDE_266,dyskinesia,True,266
267,BIOKORF_SIDE_267,menses painful,False,267
268,BIOKORF_SIDE_268,dyspareunia,True,268
269,BIOKORF_SIDE_269,dyspepsia,True,269
270,BIOKORF_SIDE_270,dysphagia,True,270
271,BIOKORF_SIDE_271,dysphonia,False,271
272,BIOKORF_SIDE_272,dysphoria,False,272
273,BIOKORF_SIDE_273,air hunger,False,273
274,BIOKORF_SIDE_274,air hunger exertional,False,274
275,BIOKORF_SIDE_275,urinary spray,False,275
276,BIOKORF_SIDE_276,ear disorder,False,276
277,BIOKORF_SIDE_277,ear infection,False,277
278,BIOKORF_SIDE_278,ear pain,True,278
279,BIOKORF_SIDE_279,bruise,False,279
280,BIOKORF_SIDE_280,eczema,True,280
281,BIOKORF_SIDE_281,ejaculation delayed,False,281
282,BIOKORF_SIDE_282,ejaculation disorder,False,282
283,BIOKORF_SIDE_283,ejaculation failure,False,283
284,BIOKORF_SIDE_284,electrocardiogram abnormal,True,284
285,BIOKORF_SIDE_285,electrocardiogram qt prolonged,True,285
286,BIOKORF_SIDE_286,electrocardiogram st segment depression,False,286
287,BIOKORF_SIDE_287,electroencephalogram abnormal,True,287
288,BIOKORF_SIDE_288,electrolyte imbalance,False,288
289,BIOKORF_SIDE_289,embolism,False,289
290,BIOKORF_SIDE_290,embolism venous,False,290
291,BIOKORF_SIDE_291,emotional disorder,False,291
292,BIOKORF_SIDE_292,emphysema,False,292
293,BIOKORF_SIDE_293,encephalopathy,True,293
294,BIOKORF_SIDE_294,endocrine disorder,True,294
295,BIOKORF_SIDE_295,endometrial disorder,False,295
296,BIOKORF_SIDE_296,ophthalmia,False,296
297,BIOKORF_SIDE_297,enteritis,False,297
298,BIOKORF_SIDE_298,enterocolitis,False,298
299,BIOKORF_SIDE_299,enuresis,False,299
300,BIOKORF_SIDE_300,eosinophilia,True,300
301,BIOKORF_SIDE_301,epididymitis,True,301
302,BIOKORF_SIDE_302,epigastric discomfort,False,302
303,BIOKORF_SIDE_303,epistaxis,True,303
304,BIOKORF_SIDE_304,erectile dysfunction,True,304
305,BIOKORF_SIDE_305,gas raising,False,305
306,BIOKORF_SIDE_306,erythema,True,306
307,BIOKORF_SIDE_307,erythema multiforme,True,307
308,BIOKORF_SIDE_308,erythema nodosum,True,308
309,BIOKORF_SIDE_309,erythema of eyelid,False,309
310,BIOKORF_SIDE_310,euphoric mood,False,310
311,BIOKORF_SIDE_311,excoriation,False,311
312,BIOKORF_SIDE_312,exophthalmos,True,312
313,BIOKORF_SIDE_313,bone spur,False,313
314,BIOKORF_SIDE_314,extrapyramidal disorder,False,314
315,BIOKORF_SIDE_315,cardiac complex,False,315
316,BIOKORF_SIDE_316,extravasation,False,316
317,BIOKORF_SIDE_317,eye discharge,False,317
318,BIOKORF_SIDE_318,eye disorder,True,318
319,BIOKORF_SIDE_319,eye haemorrhage,False,319
320,BIOKORF_SIDE_320,eye infection,False,320
321,BIOKORF_SIDE_321,eye irritation,False,321
322,BIOKORF_SIDE_322,eye oedema,False,322
323,BIOKORF_SIDE_323,eye pain,True,323
324,BIOKORF_SIDE_324,eye pruritus,False,324
325,BIOKORF_SIDE_325,eye swelling,False,325
326,BIOKORF_SIDE_326,eyelid oedema,False,326
327,BIOKORF_SIDE_327,face oedema,True,327
328,BIOKORF_SIDE_328,fecal impaction,False,328
329,BIOKORF_SIDE_329,fecal impaction causing obstruction,False,329
330,BIOKORF_SIDE_330,faeces discoloured,False,330
331,BIOKORF_SIDE_331,fasting,False,331
332,BIOKORF_SIDE_332,fatigue,True,332
333,BIOKORF_SIDE_333,febrile neutropenia,True,333
334,BIOKORF_SIDE_334,feeling abnormal,False,334
335,BIOKORF_SIDE_335,feeling cold,False,335
336,BIOKORF_SIDE_336,feeling drunk,False,336
337,BIOKORF_SIDE_337,feeling hot,False,337
338,BIOKORF_SIDE_338,feeling jittery,False,338
339,BIOKORF_SIDE_339,fibrocystic breast disease,False,339
340,BIOKORF_SIDE_340,flank pain,True,340
341,BIOKORF_SIDE_341,flat affect,False,341
342,BIOKORF_SIDE_342,flatulence,False,342
343,BIOKORF_SIDE_343,fluid overload,True,343
344,BIOKORF_SIDE_344,fluid retention,False,344
345,BIOKORF_SIDE_345,flushing,True,345
346,BIOKORF_SIDE_346,halitosis of liver disease,False,346
347,BIOKORF_SIDE_347,folliculitis,False,347
348,BIOKORF_SIDE_348,fracture,True,348
349,BIOKORF_SIDE_349,functional gastrointestinal disorder,False,349
350,BIOKORF_SIDE_350,fungal infection,False,350
351,BIOKORF_SIDE_351,fungal skin infection,False,351
352,BIOKORF_SIDE_352,boil in nose,False,352
353,BIOKORF_SIDE_353,gait disturbance,True,353
354,BIOKORF_SIDE_354,female lactation,False,354
355,BIOKORF_SIDE_355,gamma glutamine transfer enzyme increased,False,355
356,BIOKORF_SIDE_356,gangrene,False,356
357,BIOKORF_SIDE_357,gastric ulcer,False,357
358,BIOKORF_SIDE_358,gastritis,False,358
359,BIOKORF_SIDE_359,gastroenteritis,True,359
360,BIOKORF_SIDE_360,gastrointestinal carcinoma,False,360
361,BIOKORF_SIDE_361,gastrointestinal disorder,True,361
362,BIOKORF_SIDE_362,gastrointestinal haemorrhage,True,362
363,BIOKORF_SIDE_363,gastrointestinal infection,True,363
364,BIOKORF_SIDE_364,gastrointestinal pain,False,364
365,BIOKORF_SIDE_365,gastrointestinal perforation,False,365
366,BIOKORF_SIDE_366,gastrointestinal ulcer,False,366
367,BIOKORF_SIDE_367,esophageal reflux,False,367
368,BIOKORF_SIDE_368,generalised oedema,False,368
369,BIOKORF_SIDE_369,genital candidiasis,False,369
370,BIOKORF_SIDE_370,gingival bleeding,True,370
371,BIOKORF_SIDE_371,gingival pain,False,371
372,BIOKORF_SIDE_372,gingivitis,True,372
373,BIOKORF_SIDE_373,glaucoma,True,373
374,BIOKORF_SIDE_374,glossitis,False,374
375,BIOKORF_SIDE_375,burning tongue,False,375
376,BIOKORF_SIDE_376,glucose tolerance impaired,False,376
377,BIOKORF_SIDE_377,diabetes,False,377
378,BIOKORF_SIDE_378,goitre,True,378
379,BIOKORF_SIDE_379,gout,True,379
380,BIOKORF_SIDE_380,gravitational oedema,False,380
381,BIOKORF_SIDE_381,breast enlargement male,False,381
382,BIOKORF_SIDE_382,emesis bloody,False,382
383,BIOKORF_SIDE_383,blood in stool,True,383
384,BIOKORF_SIDE_384,packed cell volume decreased,False,384
385,BIOKORF_SIDE_385,haematoma,False,385
386,BIOKORF_SIDE_386,urinary tract bleed microscopic,False,386
387,BIOKORF_SIDE_387,haemoglobin,False,387
388,BIOKORF_SIDE_388,haemoglobin decreased,True,388
389,BIOKORF_SIDE_389,haemolytic anaemia,False,389
390,BIOKORF_SIDE_390,haemolytic uremia syndrome,False,390
391,BIOKORF_SIDE_391,blood streaked sputum,False,391
392,BIOKORF_SIDE_392,haemorrhage,False,392
393,BIOKORF_SIDE_393,haemorrhage intracranial,False,393
394,BIOKORF_SIDE_394,haemorrhagic disorder,True,394
395,BIOKORF_SIDE_395,hemorrhoids,True,395
396,BIOKORF_SIDE_396,hair colour changes,False,396
397,BIOKORF_SIDE_397,hair disorder,False,397
398,BIOKORF_SIDE_398,hair texture abnormal,False,398
399,BIOKORF_SIDE_399,hallucination,True,399
400,BIOKORF_SIDE_400,hangover,False,400
401,BIOKORF_SIDE_401,headache,True,401
402,BIOKORF_SIDE_402,hemiplegia,False,402
403,BIOKORF_SIDE_403,hepatic cancer,False,403
404,BIOKORF_SIDE_404,hepatic enzyme increased,True,404
405,BIOKORF_SIDE_405,hepatic failure,True,405
406,BIOKORF_SIDE_406,hepatic function abnormal,True,406
407,BIOKORF_SIDE_407,hepatic necrosis,True,407
408,BIOKORF_SIDE_408,hepatic steatosis,True,408
409,BIOKORF_SIDE_409,hepatitis,True,409
410,BIOKORF_SIDE_410,hepatitis cholestasis,False,410
411,BIOKORF_SIDE_411,hepatobiliary disease,False,411
412,BIOKORF_SIDE_412,hepatocellular injury,False,412
413,BIOKORF_SIDE_413,hepatomegaly,True,413
414,BIOKORF_SIDE_414,hepatotoxicity,False,414
415,BIOKORF_SIDE_415,hernia,True,415
416,BIOKORF_SIDE_416,herpes simplex,True,416
417,BIOKORF_SIDE_417,herpes virus infection,False,417
418,BIOKORF_SIDE_418,herpes zoster,False,418
419,BIOKORF_SIDE_419,hiatus hernia,True,419
420,BIOKORF_SIDE_420,hiccups,False,420
421,BIOKORF_SIDE_421,hirsutism,True,421
422,BIOKORF_SIDE_422,hostility,False,422
423,BIOKORF_SIDE_423,hot flush,True,423
424,BIOKORF_SIDE_424,hyperacusis,False,424
425,BIOKORF_SIDE_425,venous congestion,False,425
426,BIOKORF_SIDE_426,allodynia mechanical,False,426
427,BIOKORF_SIDE_427,bilirubin blood,False,427
428,BIOKORF_SIDE_428,high calcium blood,False,428
429,BIOKORF_SIDE_429,high calcium urine,False,429
430,BIOKORF_SIDE_430,high cholesterol blood,False,430
431,BIOKORF_SIDE_431,high blood sugar,True,431
432,BIOKORF_SIDE_432,hyperhidrosis,True,432
433,BIOKORF_SIDE_433,high potassium blood,False,433
434,BIOKORF_SIDE_434,hyperkeratosis,True,434
435,BIOKORF_SIDE_435,movement function hyperactivity,False,435
436,BIOKORF_SIDE_436,high lactic acid blood,False,436
437,BIOKORF_SIDE_437,high levels of lipids,False,437
438,BIOKORF_SIDE_438,high magnesium blood,False,438
439,BIOKORF_SIDE_439,salt retention,False,439
440,BIOKORF_SIDE_440,pain allergy,False,440
441,BIOKORF_SIDE_441,high phosphorus blood,False,441
442,BIOKORF_SIDE_442,exaggerated reflexes,False,442
443,BIOKORF_SIDE_443,hypersensitivity,True,443
444,BIOKORF_SIDE_444,sleep excessive,False,444
445,BIOKORF_SIDE_445,hypertension,True,445
446,BIOKORF_SIDE_446,hyperthyroidism,False,446
447,BIOKORF_SIDE_447,tone increased,False,447
448,BIOKORF_SIDE_448,hypertrichosis,True,448
449,BIOKORF_SIDE_449,high glycerin three ester blood,False,449
450,BIOKORF_SIDE_450,high uric acid blood,False,450
451,BIOKORF_SIDE_451,hyperventilation,True,451
452,BIOKORF_SIDE_452,body numbness,False,452
453,BIOKORF_SIDE_453,body numbness oral,False,453
454,BIOKORF_SIDE_454,low albumin blood,False,454
455,BIOKORF_SIDE_455,low calcium blood,False,455
456,BIOKORF_SIDE_456,low chlorine blood,False,456
457,BIOKORF_SIDE_457,chlorosis,False,457
458,BIOKORF_SIDE_458,hypoglycemia,True,458
459,BIOKORF_SIDE_459,drenching sweats,False,459
460,BIOKORF_SIDE_460,potassium deficiency,False,460
461,BIOKORF_SIDE_461,activity motor retarded,False,461
462,BIOKORF_SIDE_462,low magnesium blood,False,462
463,BIOKORF_SIDE_463,hypomania,False,463
464,BIOKORF_SIDE_464,low sodium blood,False,464
465,BIOKORF_SIDE_465,phosphorus low blood,False,465
466,BIOKORF_SIDE_466,potassium deficiency,False,466
467,BIOKORF_SIDE_467,diminished reflexes,False,467
468,BIOKORF_SIDE_468,hypotension,True,468
469,BIOKORF_SIDE_469,hypothermia,False,469
470,BIOKORF_SIDE_470,hypothyroidism,True,470
471,BIOKORF_SIDE_471,hypotonia,True,471
472,BIOKORF_SIDE_472,hypoventilation,True,472
473,BIOKORF_SIDE_473,hypoxia,False,473
474,BIOKORF_SIDE_474,ileus,False,474
475,BIOKORF_SIDE_475,ileus paralytic,True,475
476,BIOKORF_SIDE_476,ill-defined disorder,False,476
477,BIOKORF_SIDE_477,immune system disorder,True,477
478,BIOKORF_SIDE_478,impaired gastric emptying,False,478
479,BIOKORF_SIDE_479,impaired healing,False,479
480,BIOKORF_SIDE_480,impetigo,False,480
481,BIOKORF_SIDE_481,inappropriate antidiuretic hormone secretion,False,481
482,BIOKORF_SIDE_482,incontinence,False,482
483,BIOKORF_SIDE_483,increased appetite,True,483
484,BIOKORF_SIDE_484,increased bronchial secretion,False,484
485,BIOKORF_SIDE_485,increased tendency to bruise,True,485
486,BIOKORF_SIDE_486,hardening,False,486
487,BIOKORF_SIDE_487,infarction,False,487
488,BIOKORF_SIDE_488,infection,True,488
489,BIOKORF_SIDE_489,infestation,False,489
490,BIOKORF_SIDE_490,inflammation,False,490
491,BIOKORF_SIDE_491,influenza,True,491
492,BIOKORF_SIDE_492,influenza like illness,False,492
493,BIOKORF_SIDE_493,infusion site pain,False,493
494,BIOKORF_SIDE_494,infusion site reaction,False,494
495,BIOKORF_SIDE_495,injection site bruising,False,495
496,BIOKORF_SIDE_496,injection site erythema,False,496
497,BIOKORF_SIDE_497,injection site haemorrhage,False,497
498,BIOKORF_SIDE_498,injection site hardening,False,498
499,BIOKORF_SIDE_499,injection site inflammation,False,499
500,BIOKORF_SIDE_500,injection site pain,False,500
501,BIOKORF_SIDE_501,injection site pruritus,False,501
502,BIOKORF_SIDE_502,injection site reaction,True,502
503,BIOKORF_SIDE_503,injection site swelling,False,503
504,BIOKORF_SIDE_504,injury,False,504
505,BIOKORF_SIDE_505,insomnia,True,505
506,BIOKORF_SIDE_506,instillation site pain,False,506
507,BIOKORF_SIDE_507,intermittent claudication,False,507
