rounding_decimals,group_rank_within_precision,group_size,member_matrix_indices,member_drug_names
4,5,22,"[36, 52, 84, 92, 155, 176, 224, 290, 363, 366, 375, 394, 417, 476, 568, 601, 613, 636, 685, 686, 710, 713]","[""fluconazole"", ""indinavir"", ""chlorambucil"", ""flucloxacillin"", ""trimethoprim"", ""dicloxacillin"", ""valaciclovir"", ""adefovir.dipivoxil"", ""tinidazole"", ""metronidazole"", ""tipranavir"", ""telithromycin"", ""metyrapone"", ""trimetrexate"", ""fusidic.acid"", ""apremilast"", ""doripenem"", ""etravirine"", ""boceprevir"", ""fidaxomicin"", ""dolutegravir"", ""sofosbuvir""]"
3,6,21,"[46, 53, 98, 106, 163, 169, 170, 200, 241, 277, 309, 327, 407, 438, 446, 455, 458, 471, 475, 519, 595]","[""torasemide"", ""lovastatin"", ""valproic.acid"", ""indometacin"", ""imipramine"", ""fluoxetine"", ""duloxetine"", ""erlotinib"", ""imatinib"", ""furosemide"", ""irinotecan"", ""meloxicam"", ""doxorubicin"", ""ibuprofen"", ""atorvastatin"", ""rosuvastatin"", ""sertraline"", ""doxepin"", ""bupropion"", ""clomipramine"", ""vandetanib""]"
4,6,21,"[46, 53, 98, 106, 163, 169, 170, 200, 241, 277, 309, 327, 407, 438, 446, 455, 458, 471, 475, 519, 595]","[""torasemide"", ""lovastatin"", ""valproic.acid"", ""indometacin"", ""imipramine"", ""fluoxetine"", ""duloxetine"", ""erlotinib"", ""imatinib"", ""furosemide"", ""irinotecan"", ""meloxicam"", ""doxorubicin"", ""ibuprofen"", ""atorvastatin"", ""rosuvastatin"", ""sertraline"", ""doxepin"", ""bupropion"", ""clomipramine"", ""vandetanib""]"
3,7,17,"[21, 37, 41, 58, 159, 192, 240, 395, 400, 439, 462, 478, 495, 500, 501, 525, 628]","[""glutamine"", ""oseltamivir"", ""azithromycin"", ""cladribine"", ""epirubicin"", ""albendazole"", ""rifabutin"", ""lomefloxacin"", ""cytarabine"", ""norfloxacin"", ""atovaquone"", ""ofloxacin"", ""estramustine"", ""sparfloxacin"", ""clarithromycin"", ""lisdexamfetamine"", ""temsirolimus""]"
3,8,17,"[38, 123, 126, 161, 168, 231, 239, 333, 365, 388, 391, 456, 492, 511, 533, 610, 654]","[""caffeine"", ""clozapine"", ""mirtazapine"", ""loratadine"", ""montelukast"", ""doxazosin"", ""bisoprolol"", ""mifepristone"", ""amantadine"", ""telmisartan"", ""azelastine"", ""pimozide"", ""acebutolol"", ""quetiapine"", ""paliperidone"", ""silodosin"", ""fesoterodine""]"
3,9,17,"[70, 115, 124, 191, 278, 285, 292, 320, 343, 358, 381, 382, 383, 410, 451, 488, 593]","[""ropinirole"", ""alfuzosin"", ""levonorgestrel"", ""dextromethorphan"", ""tizanidine"", ""sufentanil"", ""imiquimod"", ""tazarotene"", ""terbutaline"", ""bimatoprost"", ""naratriptan"", ""rizatriptan"", ""hydrocodone"", ""salbutamol"", ""pilocarpine"", ""pergolide"", ""rotigotine""]"
4,7,17,"[21, 37, 41, 58, 159, 192, 240, 395, 400, 439, 462, 478, 495, 500, 501, 525, 628]","[""glutamine"", ""oseltamivir"", ""azithromycin"", ""cladribine"", ""epirubicin"", ""albendazole"", ""rifabutin"", ""lomefloxacin"", ""cytarabine"", ""norfloxacin"", ""atovaquone"", ""ofloxacin"", ""estramustine"", ""sparfloxacin"", ""clarithromycin"", ""lisdexamfetamine"", ""temsirolimus""]"
4,8,17,"[38, 123, 126, 161, 168, 231, 239, 333, 365, 388, 391, 456, 492, 511, 533, 610, 654]","[""caffeine"", ""clozapine"", ""mirtazapine"", ""loratadine"", ""montelukast"", ""doxazosin"", ""bisoprolol"", ""mifepristone"", ""amantadine"", ""telmisartan"", ""azelastine"", ""pimozide"", ""acebutolol"", ""quetiapine"", ""paliperidone"", ""silodosin"", ""fesoterodine""]"
4,9,17,"[70, 115, 124, 191, 278, 285, 292, 320, 343, 358, 381, 382, 383, 410, 451, 488, 593]","[""ropinirole"", ""alfuzosin"", ""levonorgestrel"", ""dextromethorphan"", ""tizanidine"", ""sufentanil"", ""imiquimod"", ""tazarotene"", ""terbutaline"", ""bimatoprost"", ""naratriptan"", ""rizatriptan"", ""hydrocodone"", ""salbutamol"", ""pilocarpine"", ""pergolide"", ""rotigotine""]"
3,10,16,"[49, 89, 198, 271, 293, 304, 336, 411, 486, 506, 508, 538, 604, 727, 752, 755]","[""moxifloxacin"", ""bupivacaine"", ""lercanidipine"", ""trovafloxacin"", ""glyceryl.trinitrate"", ""deferoxamine"", ""dacarbazine"", ""levobupivacaine"", ""ifosfamide"", ""halofantrine"", ""rifaximin"", ""nelarabine"", ""mianserin"", ""pinaverium"", ""mometasone"", ""eslicarbazepine""]"
4,10,16,"[49, 89, 198, 271, 293, 304, 336, 411, 486, 506, 508, 538, 604, 727, 752, 755]","[""moxifloxacin"", ""bupivacaine"", ""lercanidipine"", ""trovafloxacin"", ""glyceryl.trinitrate"", ""deferoxamine"", ""dacarbazine"", ""levobupivacaine"", ""ifosfamide"", ""halofantrine"", ""rifaximin"", ""nelarabine"", ""mianserin"", ""pinaverium"", ""mometasone"", ""eslicarbazepine""]"
6,2,16,"[150, 235, 268, 352, 470, 474, 543, 558, 659, 670, 701, 724, 729, 746, 753, 754]","[""famciclovir"", ""linezolid"", ""amphotericin.B"", ""chlormethine"", ""micafungin"", ""gemifloxacin"", ""fosamprenavir"", ""dihydrocodeine"", ""bendamustine"", ""raltegravir"", ""bedaquiline"", ""sodium.oxybate"", ""elvitegravir"", ""clobetasol"", ""tedizolid"", ""hydroxyprogesterone""]"
3,11,15,"[6, 95, 175, 247, 362, 367, 396, 408, 527, 579, 634, 647, 675, 723, 726]","[""desmopressin"", ""bexarotene"", ""brimonidine"", ""dexmedetomidine"", ""paricalcitol"", ""almotriptan"", ""ramelteon"", ""frovatriptan"", ""desonide"", ""lorcaserin"", ""doxercalciferol"", ""pasireotide"", ""tafluprost"", ""tasimelteon"", ""olodaterol""]"
3,12,15,"[67, 104, 121, 167, 350, 359, 402, 414, 424, 457, 479, 622, 635, 688, 706]","[""anagrelide"", ""tolcapone"", ""vinorelbine"", ""ketorolac"", ""risedronic.acid"", ""tiagabine"", ""exemestane"", ""hydroxycarbamide"", ""mycophenolic.acid"", ""capecitabine"", ""cilostazol"", ""avanafil"", ""armodafinil"", ""ruxolitinib"", ""trametinib""]"
4,11,15,"[6, 95, 175, 247, 362, 367, 396, 408, 527, 579, 634, 647, 675, 723, 726]","[""desmopressin"", ""bexarotene"", ""brimonidine"", ""dexmedetomidine"", ""paricalcitol"", ""almotriptan"", ""ramelteon"", ""frovatriptan"", ""desonide"", ""lorcaserin"", ""doxercalciferol"", ""pasireotide"", ""tafluprost"", ""tasimelteon"", ""olodaterol""]"
6,3,15,"[152, 158, 193, 207, 246, 448, 483, 526, 528, 574, 689, 691, 715, 719, 721]","[""allopurinol"", ""teniposide"", ""trandolapril"", ""benazepril"", ""clofarabine"", ""vigabatrin"", ""idarubicin"", ""lapatinib"", ""sitagliptin"", ""ixabepilone"", ""teriflunomide"", ""linagliptin"", ""aliskiren"", ""eliglustat"", ""cobicistat""]"
3,13,14,"[59, 65, 114, 214, 259, 294, 314, 360, 364, 442, 461, 463, 494, 576]","[""ranolazine"", ""phenytoin"", ""diltiazem"", ""lamotrigine"", ""verapamil"", ""nateglinide"", ""oxcarbazepine"", ""quinidine"", ""repaglinide"", ""glipizide"", ""nifedipine"", ""amiodarone"", ""flecainide"", ""dronedarone""]"
3,14,14,"[87, 144, 223, 237, 255, 288, 300, 305, 326, 377, 430, 467, 514, 702]","[""morphine"", ""rosiglitazone"", ""clonidine"", ""medroxyprogesterone"", ""estrone"", ""apomorphine"", ""hydrocortisone"", ""tretinoin"", ""fentanyl"", ""salmeterol"", ""fenofibrate"", ""pioglitazone"", ""dexamethasone"", ""fluticasone.furoate""]"
3,15,14,"[111, 225, 303, 329, 431, 450, 493, 504, 567, 573, 581, 598, 652, 687]","[""pimecrolimus"", ""valdecoxib"", ""modafinil"", ""tadalafil"", ""thalidomide"", ""orlistat"", ""brinzolamide"", ""finasteride"", ""roflumilast"", ""tetrabenazine"", ""milnacipran"", ""dexlansoprazole"", ""desvenlafaxine"", ""cabozantinib""]"
4,12,14,"[59, 65, 114, 214, 259, 294, 314, 360, 364, 442, 461, 463, 494, 576]","[""ranolazine"", ""phenytoin"", ""diltiazem"", ""lamotrigine"", ""verapamil"", ""nateglinide"", ""oxcarbazepine"", ""quinidine"", ""repaglinide"", ""glipizide"", ""nifedipine"", ""amiodarone"", ""flecainide"", ""dronedarone""]"
4,13,14,"[87, 144, 223, 237, 255, 288, 300, 305, 326, 377, 430, 467, 514, 702]","[""morphine"", ""rosiglitazone"", ""clonidine"", ""medroxyprogesterone"", ""estrone"", ""apomorphine"", ""hydrocortisone"", ""tretinoin"", ""fentanyl"", ""salmeterol"", ""fenofibrate"", ""pioglitazone"", ""dexamethasone"", ""fluticasone.furoate""]"
4,14,14,"[111, 225, 303, 329, 431, 450, 493, 504, 567, 573, 581, 598, 652, 687]","[""pimecrolimus"", ""valdecoxib"", ""modafinil"", ""tadalafil"", ""thalidomide"", ""orlistat"", ""brinzolamide"", ""finasteride"", ""roflumilast"", ""tetrabenazine"", ""milnacipran"", ""dexlansoprazole"", ""desvenlafaxine"", ""cabozantinib""]"
3,16,13,"[25, 127, 186, 211, 216, 229, 307, 344, 371, 465, 716, 717, 751]","[""valsartan"", ""timolol"", ""cimetidine"", ""zafirlukast"", ""bosentan"", ""nizatidine"", ""clopidogrel"", ""conivaptan"", ""famotidine"", ""bicalutamide"", ""vorapaxar"", ""suvorexant"", ""candesartan""]"
3,17,13,"[29, 48, 62, 99, 103, 118, 136, 262, 496, 550, 560, 624, 682]","[""nicotine"", ""eletriptan"", ""cabergoline"", ""zolmitriptan"", ""dihydroergotamine"", ""megestrol"", ""progesterone"", ""sumatriptan"", ""bromocriptine"", ""bezafibrate"", ""ursodeoxycholic.acid"", ""droxidopa"", ""fingolimod""]"
3,18,13,"[32, 129, 260, 264, 279, 281, 306, 378, 379, 390, 571, 625, 692]","[""esmolol"", ""palonosetron"", ""nilutamide"", ""aprepitant"", ""eplerenone"", ""naltrexone"", ""dolasetron"", ""fulvestrant"", ""felbamate"", ""alosetron"", ""maraviroc"", ""sitaxentan"", ""perampanel""]"
3,19,13,"[148, 210, 215, 220, 412, 425, 484, 489, 523, 564, 732, 733, 737]","[""hyoscyamine"", ""azelaic.acid"", ""zanamivir"", ""cisatracurium"", ""cromoglicic.acid"", ""amlexanox"", ""podophyllotoxin"", ""ciclopirox"", ""olsalazine"", ""tiaprofenic.acid"", ""florbetapir.(18F)"", ""flutemetamol.(18F)"", ""nicorandil""]"
4,15,13,"[25, 127, 186, 211, 216, 229, 307, 344, 371, 465, 716, 717, 751]","[""valsartan"", ""timolol"", ""cimetidine"", ""zafirlukast"", ""bosentan"", ""nizatidine"", ""clopidogrel"", ""conivaptan"", ""famotidine"", ""bicalutamide"", ""vorapaxar"", ""suvorexant"", ""candesartan""]"
4,16,13,"[29, 48, 62, 99, 103, 118, 136, 262, 496, 550, 560, 624, 682]","[""nicotine"", ""eletriptan"", ""cabergoline"", ""zolmitriptan"", ""dihydroergotamine"", ""megestrol"", ""progesterone"", ""sumatriptan"", ""bromocriptine"", ""bezafibrate"", ""ursodeoxycholic.acid"", ""droxidopa"", ""fingolimod""]"
4,17,13,"[32, 129, 260, 264, 279, 281, 306, 378, 379, 390, 571, 625, 692]","[""esmolol"", ""palonosetron"", ""nilutamide"", ""aprepitant"", ""eplerenone"", ""naltrexone"", ""dolasetron"", ""fulvestrant"", ""felbamate"", ""alosetron"", ""maraviroc"", ""sitaxentan"", ""perampanel""]"
4,18,13,"[148, 210, 215, 220, 412, 425, 484, 489, 523, 564, 732, 733, 737]","[""hyoscyamine"", ""azelaic.acid"", ""zanamivir"", ""cisatracurium"", ""cromoglicic.acid"", ""amlexanox"", ""podophyllotoxin"", ""ciclopirox"", ""olsalazine"", ""tiaprofenic.acid"", ""florbetapir.(18F)"", ""flutemetamol.(18F)"", ""nicorandil""]"
3,20,12,"[16, 50, 57, 244, 316, 347, 440, 444, 502, 513, 531, 630]","[""octreotide"", ""nelfinavir"", ""nevirapine"", ""efavirenz"", ""aciclovir"", ""emtricitabine"", ""amoxicillin"", ""atazanavir"", ""ceftriaxone"", ""saquinavir"", ""darunavir"", ""simeprevir""]"
4,19,12,"[16, 50, 57, 244, 316, 347, 440, 444, 502, 513, 531, 630]","[""octreotide"", ""nelfinavir"", ""nevirapine"", ""efavirenz"", ""aciclovir"", ""emtricitabine"", ""amoxicillin"", ""atazanavir"", ""ceftriaxone"", ""saquinavir"", ""darunavir"", ""simeprevir""]"
