matrix_index,source_row,drug_name,stitch_id,optimuskg_id,mapping_method,mapping_status
45,46,pantoprazole,CIDm00004679,,,unmapped
46,47,torasemide,CIDm00041781,,,unmapped
47,48,citalopram,CIDm00002771,,,unmapped
48,49,eletriptan,CIDm00077993,,,unmapped
49,50,moxifloxacin,CIDm00101526,,,unmapped
50,51,nelfinavir,CIDm00064142,,,unmapped
51,52,glimepiride,CIDm00003476,,,unmapped
52,53,indinavir,CIDm05362440,,,unmapped
53,54,lovastatin,CIDm00053232,,,unmapped
54,55,pregabalin,CIDm05486971,,,unmapped
55,56,temazepam,CIDm00005391,,,unmapped
56,57,reboxetine,CIDm00065856,,,unmapped
57,58,nevirapine,CIDm00004463,,,unmapped
58,59,cladribine,CIDm00020279,,,unmapped
59,60,ranolazine,CIDm00056959,,,unmapped
60,61,mesalazine,CIDm00004075,,,unmapped
61,62,ziprasidone,CIDm00060853,,,unmapped
62,63,cabergoline,CIDm00054746,,,unmapped
63,64,dapsone,CIDm00002955,,,unmapped
64,65,terconazole,CIDm00441383,,,unmapped
65,66,phenytoin,CIDm00001775,,,unmapped
66,67,doxycycline,CIDm54671203,,,unmapped
67,68,anagrelide,CIDm00002182,,,unmapped
68,69,carmustine,CIDm00002578,,,unmapped
69,70,metoprolol,CIDm00004171,,,unmapped
70,71,ropinirole,CIDm00005095,,,unmapped
71,72,isradipine,CIDm00003784,,,unmapped
72,73,topiramate,CIDm05284627,,,unmapped
73,74,olmesartan.medoxomil,CIDm00158781,,,unmapped
74,75,amsacrine,CIDm00002179,,,unmapped
75,76,theophylline,CIDm00002153,,,unmapped
76,77,argatroban,CIDm00092721,,,unmapped
77,78,lidocaine,CIDm00003676,,,unmapped
78,79,pamidronic.acid,CIDm00004673,,,unmapped
79,80,venlafaxine,CIDm00005656,,,unmapped
80,81,conjugated.estrogens,CIDm00168708,,,unmapped
81,82,travoprost,CIDm05282226,,,unmapped
82,83,atomoxetine,CIDm00054840,,,unmapped
83,84,bleomycin,CIDm05360373,,,unmapped
84,85,chlorambucil,CIDm00002708,,,unmapped
85,86,raltitrexed,CIDm00104758,,,unmapped
86,87,etonogestrel,CIDm06917715,,,unmapped
87,88,morphine,CIDm05288826,,,unmapped
88,89,ropivacaine,CIDm00175804,,,unmapped
89,90,bupivacaine,CIDm00002474,,,unmapped
90,91,penciclovir,CIDm00004725,,,unmapped
91,92,tenofovir.disoproxil,CIDm05481350,,,unmapped
92,93,flucloxacillin,CIDm00021319,,,unmapped
93,94,tranexamic.acid,CIDm00005526,,,unmapped
94,95,ertapenem,CIDm00150610,,,unmapped
95,96,bexarotene,CIDm00082146,,,unmapped
96,97,ibutilide,CIDm00060752,,,unmapped
97,98,chlortalidone,CIDm00002732,,,unmapped
98,99,valproic.acid,CIDm00003121,,,unmapped
99,100,zolmitriptan,CIDm00060857,,,unmapped
100,101,paracetamol,CIDm00001983,,,unmapped
101,102,gefitinib,CIDm00123631,,,unmapped
102,103,piperacillin,CIDm00043672,,,unmapped
103,104,dihydroergotamine,CIDm00010531,,,unmapped
104,105,tolcapone,CIDm04659569,,,unmapped
105,106,hydromorphone,CIDm05284570,,,unmapped
106,107,indometacin,CIDm00003715,,,unmapped
107,108,metformin,CIDm00004091,,,unmapped
108,109,ipratropium.bromide,CIDm00003746,,,unmapped
109,110,olanzapine,CIDm00004585,,,unmapped
110,111,atenolol,CIDm00002249,,,unmapped
111,112,pimecrolimus,CIDm06509979,,,unmapped
112,113,omeprazole,CIDm00004594,,,unmapped
113,114,cetirizine,CIDm01548999,,,unmapped
114,115,diltiazem,CIDm00039186,,,unmapped
115,116,alfuzosin,CIDm00002092,,,unmapped
116,117,nitisinone,CIDm00115355,,,unmapped
117,118,clobazam,CIDm00002789,,,unmapped
118,119,megestrol,CIDm00019090,,,unmapped
119,120,aztreonam,CIDm05742832,,,unmapped
120,121,sapropterin,CIDm00044257,,,unmapped
121,122,vinorelbine,CIDm00060779,,,unmapped
122,123,anidulafungin,CIDm00166548,,,unmapped
123,124,clozapine,CIDm00002818,,,unmapped
124,125,levonorgestrel,CIDm00013109,,,unmapped
125,126,cidofovir,CIDm00466146,,,unmapped
126,127,mirtazapine,CIDm00004205,,,unmapped
127,128,timolol,CIDm00033624,,,unmapped
128,129,treprostinil,CIDm06918140,,,unmapped
129,130,palonosetron,CIDm06337614,,,unmapped
130,131,mexiletine,CIDm00004178,,,unmapped
131,132,dexrazoxane,CIDm00071384,,,unmapped
132,133,amlodipine,CIDm00002162,,,unmapped
133,134,digoxin,CIDm02724385,,,unmapped
134,135,nimodipine,CIDm00004497,,,unmapped
135,136,beclometasone,CIDm00020469,,,unmapped
136,137,progesterone,CIDm00005994,,,unmapped
137,138,sorafenib,CIDm00216239,,,unmapped
138,139,zoledronic.acid,CIDm00068740,,,unmapped
139,140,nisoldipine,CIDm00004499,,,unmapped
140,141,eszopiclone,CIDm00969472,,,unmapped
141,142,alprazolam,CIDm00002118,,,unmapped
142,143,loxapine,CIDm00003964,,,unmapped
143,144,mupirocin,CIDm00446596,,,unmapped
144,145,rosiglitazone,CIDm00077998,,,unmapped
145,146,pramipexole,CIDm00119569,,,unmapped
146,147,miglustat,CIDm00051634,,,unmapped
147,148,methylphenidate,CIDm00004158,,,unmapped
148,149,hyoscyamine,CIDm00003661,,,unmapped
149,150,zolpidem,CIDm00005732,,,unmapped
150,151,famciclovir,CIDm00003324,,,unmapped
151,152,streptozocin,CIDm00029327,,,unmapped
152,153,allopurinol,CIDm00002094,,,unmapped
153,154,ceftazidime,CIDm05481173,,,unmapped
154,155,cerivastatin,CIDm00446156,,,unmapped
155,156,trimethoprim,CIDm00005578,,,unmapped
156,157,gemcitabine,CIDm00060749,,,unmapped
157,158,entecavir,CIDm00153941,,,unmapped
158,159,teniposide,CIDm00452548,,,unmapped
159,160,epirubicin,CIDm00041867,,,unmapped
160,161,lansoprazole,CIDm00003883,,,unmapped
161,162,loratadine,CIDm00003957,,,unmapped
162,163,prazosin,CIDm00004893,,,unmapped
163,164,imipramine,CIDm00003696,,,unmapped
164,165,acitretin,CIDm05284513,,,unmapped
165,166,verteporfin,CIDm05362420,,,unmapped
166,167,nabumetone,CIDm00004409,,,unmapped
167,168,ketorolac,CIDm00003826,,,unmapped
168,169,montelukast,CIDm05281040,,,unmapped
169,170,fluoxetine,CIDm00003386,,,unmapped
170,171,duloxetine,CIDm00060834,,,unmapped
171,172,rimantadine,CIDm00005071,,,unmapped
172,173,lenalidomide,CIDm00216326,,,unmapped
173,174,raloxifene,CIDm00005035,,,unmapped
174,175,celecoxib,CIDm00002662,,,unmapped
175,176,brimonidine,CIDm00002435,,,unmapped
176,177,dicloxacillin,CIDm00018381,,,unmapped
177,178,nabilone,CIDm00039860,,,unmapped
178,179,sotalol,CIDm00005253,,,unmapped
179,180,buspirone,CIDm00002477,,,unmapped
180,181,fosinopril,CIDm00055891,,,unmapped
181,182,entacapone,CIDm05281081,,,unmapped
182,183,zidovudine,CIDm00035370,,,unmapped
183,184,darifenacin,CIDm00444030,,,unmapped
184,185,oxycodone,CIDm05284603,,,unmapped
185,186,flutamide,CIDm00003397,,,unmapped
186,187,cimetidine,CIDm00002756,,,unmapped
187,188,haloperidol,CIDm00003559,,,unmapped
188,189,ritonavir,CIDm00392622,,,unmapped
189,190,nitazoxanide,CIDm00041684,,,unmapped
190,191,vancomycin,CIDm00014969,,,unmapped
191,192,dextromethorphan,CIDm05360696,,,unmapped
192,193,albendazole,CIDm00002082,,,unmapped
193,194,trandolapril,CIDm05484727,,,unmapped
194,195,caspofungin,CIDm02826718,,,unmapped
195,196,alitretinoin,CIDm00449171,,,unmapped
196,197,metolazone,CIDm00004170,,,unmapped
197,198,oxaliplatin,CIDm00004609,,,unmapped
198,199,lercanidipine,CIDm00065866,,,unmapped
199,200,foscarnet,CIDm00003414,,,unmapped
200,201,erlotinib,CIDm00176870,,,unmapped
201,202,cyclophosphamide,CIDm00002907,,,unmapped
202,203,rofecoxib,CIDm00005090,,,unmapped
203,204,ciprofloxacin,CIDm00002764,,,unmapped
204,205,gadoversetamide,CIDm00444013,,,unmapped
205,206,toremifene,CIDm03005572,,,unmapped
206,207,vincristine,CIDm06324671,,,unmapped
207,208,benazepril,CIDm05362123,,,unmapped
208,209,fluorouracil,CIDm00003385,,,unmapped
209,210,pyridostigmine,CIDm00004991,,,unmapped
210,211,azelaic.acid,CIDm00002266,,,unmapped
211,212,zafirlukast,CIDm00005717,,,unmapped
212,213,pentostatin,CIDm00439693,,,unmapped
213,214,piroxicam,CIDm23690938,,,unmapped
214,215,lamotrigine,CIDm00003878,,,unmapped
215,216,zanamivir,CIDm00060855,,,unmapped
216,217,bosentan,CIDm00104865,,,unmapped
217,218,tigecycline,CIDm54686904,,,unmapped
218,219,methotrexate,CIDm00126941,,,unmapped
219,220,carbamazepine,CIDm00002554,,,unmapped
220,221,cisatracurium,CIDm00062886,,,unmapped
221,222,fondaparinux,CIDm00636380,,,unmapped
222,223,propranolol,CIDm00004946,,,unmapped
223,224,clonidine,CIDm00002803,,,unmapped
224,225,valaciclovir,CIDm00060772,,,unmapped
225,226,valdecoxib,CIDm00119607,,,unmapped
226,227,voriconazole,CIDm00071616,,,unmapped
227,228,levocarnitine,CIDm00010917,,,unmapped
228,229,enalapril,CIDm05388961,,,unmapped
229,230,nizatidine,CIDm03033637,,,unmapped
230,231,diclofenac,CIDm00003032,,,unmapped
231,232,doxazosin,CIDm00003157,,,unmapped
232,233,amiloride,CIDm00016230,,,unmapped
233,234,gadoteridol,CIDm00060714,,,unmapped
234,235,labetalol,CIDm00003869,,,unmapped
235,236,linezolid,CIDm00441401,,,unmapped
236,237,ivermectin,CIDm06435110,,,unmapped
237,238,medroxyprogesterone,CIDm00010631,,,unmapped
238,239,butorphanol,CIDm05361092,,,unmapped
239,240,bisoprolol,CIDm00002405,,,unmapped
240,241,rifabutin,CIDm06323490,,,unmapped
241,242,imatinib,CIDm00005291,,,unmapped
242,243,triamcinolone,CIDm00031307,,,unmapped
243,244,testosterone,CIDm00006013,,,unmapped
244,245,efavirenz,CIDm00064139,,,unmapped
245,246,alendronic.acid,CIDm00002088,,,unmapped
246,247,clofarabine,CIDm00119182,,,unmapped
247,248,dexmedetomidine,CIDm05311068,,,unmapped
248,249,adenosine,CIDm00060961,,,unmapped
249,250,simvastatin,CIDm00054454,,,unmapped
250,251,pemetrexed,CIDm00060843,,,unmapped
251,252,gonadorelin,CIDm00036523,,,unmapped
252,253,stavudine,CIDm00018283,,,unmapped
253,254,calcium.folinate,CIDm00006006,,,unmapped
254,255,latanoprost,CIDm05311221,,,unmapped
255,256,estrone,CIDm03001028,,,unmapped
256,257,trazodone,CIDm00005533,,,unmapped
257,258,sevelamer,CIDm03085017,,,unmapped
258,259,acamprosate,CIDm00071158,,,unmapped
259,260,verapamil,CIDm00002520,,,unmapped
260,261,nilutamide,CIDm00004493,,,unmapped
261,262,nafarelin,CIDm25077649,,,unmapped
262,263,sumatriptan,CIDm00005358,,,unmapped
263,264,cefixime,CIDm06321411,,,unmapped
264,265,aprepitant,CIDm00151165,,,unmapped
265,266,galantamine,CIDm00009651,,,unmapped
266,267,tamoxifen,CIDm02733525,,,unmapped
267,268,losartan,CIDm00003961,,,unmapped
268,269,amphotericin.B,CIDm05280965,,,unmapped
269,270,midazolam,CIDm00004192,,,unmapped
270,271,tobramycin,CIDm00036294,,,unmapped
271,272,trovafloxacin,CIDm00062959,,,unmapped
272,273,pentosan.polysulfate.sodium,CIDm00037720,,,unmapped
273,274,moexipril,CIDm00055331,,,unmapped
274,275,phentolamine,CIDm00005775,,,unmapped
275,276,fluorescein,CIDm00016850,,,unmapped
276,277,daunorubicin,CIDm00030323,,,unmapped
277,278,furosemide,CIDm00003440,,,unmapped
278,279,tizanidine,CIDm00005487,,,unmapped
279,280,eplerenone,CIDm00443872,,,unmapped
280,281,amprenavir,CIDm00065016,,,unmapped
281,282,naltrexone,CIDm05360515,,,unmapped
282,283,delavirdine,CIDm00005625,,,unmapped
283,284,tamsulosin,CIDm00129211,,,unmapped
284,285,porfimer.sodium,CIDm03086257,,,unmapped
285,286,sufentanil,CIDm00041693,,,unmapped
286,287,lamivudine,CIDm00060825,,,unmapped
287,288,ibandronic.acid,CIDm00060852,,,unmapped
288,289,apomorphine,CIDm00006005,,,unmapped
289,290,paroxetine,CIDm00043815,,,unmapped
290,291,adefovir.dipivoxil,CIDm00060871,,,unmapped
291,292,lisinopril,CIDm05362118,,,unmapped
292,293,imiquimod,CIDm00057469,,,unmapped
293,294,glyceryl.trinitrate,CIDm00004510,,,unmapped
294,295,nateglinide,CIDm05311309,,,unmapped
295,296,risperidone,CIDm00005073,,,unmapped
296,297,naftifine,CIDm00047641,,,unmapped
297,298,esomeprazole,CIDm09579578,,,unmapped
298,299,pentamidine.isethionate,CIDm00004735,,,unmapped
299,300,riluzole,CIDm00005070,,,unmapped
300,301,hydrocortisone,CIDm00005754,,,unmapped
301,302,mannitol,CIDm00006251,,,unmapped
302,303,gadobenic.acid,CIDm06918204,,,unmapped
303,304,modafinil,CIDm00004236,,,unmapped
304,305,deferoxamine,CIDm00002973,,,unmapped
305,306,tretinoin,CIDm00444795,,,unmapped
306,307,dolasetron,CIDm14476155,,,unmapped
307,308,clopidogrel,CIDm00060606,,,unmapped
308,309,meropenem,CIDm00060706,,,unmapped
309,310,irinotecan,CIDm00060837,,,unmapped
310,311,olopatadine,CIDm05281071,,,unmapped
311,312,alprostadil,CIDm06433212,,,unmapped
312,313,etoposide,CIDm00036462,,,unmapped
313,314,tirofiban,CIDm00060946,,,unmapped
314,315,oxcarbazepine,CIDm00034312,,,unmapped
315,316,estradiol,CIDm00005757,,,unmapped
316,317,aciclovir,CIDm00002022,,,unmapped
317,318,naproxen,CIDm00156391,,,unmapped
318,319,perindopril,CIDm00107807,,,unmapped
319,320,sulfasalazine,CIDm05359476,,,unmapped
320,321,tazarotene,CIDm00005381,,,unmapped
321,322,alfentanil,CIDm00051263,,,unmapped
322,323,dicycloverine,CIDm00003042,,,unmapped
323,324,pentoxifylline,CIDm00004740,,,unmapped
324,325,indapamide,CIDm00003702,,,unmapped
325,326,ribavirin,CIDm00037542,,,unmapped
326,327,fentanyl,CIDm00003345,,,unmapped
327,328,meloxicam,CIDm00004051,,,unmapped
328,329,orciprenaline,CIDm00004086,,,unmapped
329,330,tadalafil,CIDm00110635,,,unmapped
330,331,fosfomycin,CIDm00073491,,,unmapped
331,332,diazepam,CIDm00003016,,,unmapped
332,333,cefaclor,CIDm00051038,,,unmapped
333,334,mifepristone,CIDm00055245,,,unmapped
334,335,donepezil,CIDm00003152,,,unmapped
335,336,mercaptamine,CIDm00006058,,,unmapped
336,337,dacarbazine,CIDm05353562,,,unmapped
337,338,temozolomide,CIDm00005394,,,unmapped
338,339,aminolevulinic.acid,CIDm00000137,,,unmapped
339,340,terbinafine,CIDm01549007,,,unmapped
340,341,penicillamine,CIDm00005852,,,unmapped
341,342,vardenafil,CIDm00110634,,,unmapped
342,343,tacrolimus,CIDm00445643,,,unmapped
343,344,terbutaline,CIDm00005403,,,unmapped
344,345,conivaptan,CIDm00151171,,,unmapped
345,346,eprosartan,CIDm05281037,,,unmapped
346,347,sirolimus,CIDm05284616,,,unmapped
347,348,emtricitabine,CIDm00060877,,,unmapped
348,349,quinapril,CIDm00054891,,,unmapped
349,350,clomifene,CIDm01548954,,,unmapped
350,351,risedronic.acid,CIDm00005245,,,unmapped
351,352,bumetanide,CIDm00002471,,,unmapped
352,353,chlormethine,CIDm00004033,,,unmapped
353,354,granisetron,CIDm05284566,,,unmapped
354,355,triazolam,CIDm00005556,,,unmapped
355,356,remifentanil,CIDm00060814,,,unmapped
356,357,didanosine,CIDm00050599,,,unmapped
357,358,ondansetron,CIDm00004595,,,unmapped
358,359,bimatoprost,CIDm05311027,,,unmapped
359,360,tiagabine,CIDm00060648,,,unmapped
360,361,quinidine,CIDm00005768,,,unmapped
361,362,zonisamide,CIDm00005734,,,unmapped
362,363,paricalcitol,CIDm05281104,,,unmapped
363,364,tinidazole,CIDm00005479,,,unmapped
364,365,repaglinide,CIDm00065981,,,unmapped
365,366,amantadine,CIDm00002130,,,unmapped
366,367,metronidazole,CIDm00004173,,,unmapped
367,368,almotriptan,CIDm00123606,,,unmapped
368,369,buprenorphine,CIDm06321408,,,unmapped
369,370,levosimendan,CIDm03033825,,,unmapped
370,371,cyclobenzaprine,CIDm00002895,,,unmapped
371,372,famotidine,CIDm05702160,,,unmapped
372,373,azacitidine,CIDm00009444,,,unmapped
373,374,misoprostol,CIDm05282381,,,unmapped
374,375,colesevelam,CIDm00160051,,,unmapped
375,376,tipranavir,CIDm00163296,,,unmapped
376,377,maprotiline,CIDm00004011,,,unmapped
377,378,salmeterol,CIDm00005152,,,unmapped
378,379,fulvestrant,CIDm00104741,,,unmapped
379,380,felbamate,CIDm00003331,,,unmapped
380,381,fexofenadine,CIDm00003348,,,unmapped
381,382,naratriptan,CIDm00004440,,,unmapped
382,383,rizatriptan,CIDm00005078,,,unmapped
383,384,hydrocodone,CIDm05284569,,,unmapped
384,385,carboplatin,CIDm00038904,,,unmapped
385,386,pindolol,CIDm00004828,,,unmapped
386,387,zaleplon,CIDm00005719,,,unmapped
387,388,apraclonidine,CIDm00002216,,,unmapped
388,389,telmisartan,CIDm00065999,,,unmapped
389,390,desloratadine,CIDm00124087,,,unmapped
390,391,alosetron,CIDm00002099,,,unmapped
391,392,azelastine,CIDm00002267,,,unmapped
392,393,ezetimibe,CIDm00150311,,,unmapped
393,394,dipyridamole,CIDm00003108,,,unmapped
394,395,telithromycin,CIDm03002190,,,unmapped
395,396,lomefloxacin,CIDm00003948,,,unmapped
396,397,ramelteon,CIDm00208902,,,unmapped
397,398,isotretinoin,CIDm05282379,,,unmapped
398,399,formoterol,CIDm03083544,,,unmapped
399,400,glycopyrronium.bromide,CIDm00003494,,,unmapped
400,401,cytarabine,CIDm00006252,,,unmapped
401,402,rivastigmine,CIDm00077990,,,unmapped
402,403,exemestane,CIDm00060198,,,unmapped
403,404,methyl.aminolevulinate,CIDm00157921,,,unmapped
404,405,azathioprine,CIDm00002265,,,unmapped
405,406,auranofin,CIDm06918453,,,unmapped
406,407,gabapentin,CIDm00003446,,,unmapped
407,408,doxorubicin,CIDm00031703,,,unmapped
408,409,frovatriptan,CIDm00077992,,,unmapped
409,410,hydrochlorothiazide,CIDm00003639,,,unmapped
410,411,salbutamol,CIDm00002083,,,unmapped
411,412,levobupivacaine,CIDm00092253,,,unmapped
412,413,cromoglicic.acid,CIDm00002881,,,unmapped
413,414,ganciclovir,CIDm00003454,,,unmapped
414,415,hydroxycarbamide,CIDm00003657,,,unmapped
415,416,letrozole,CIDm00003902,,,unmapped
416,417,busulfan,CIDm00002478,,,unmapped
417,418,metyrapone,CIDm00004174,,,unmapped
418,419,cinacalcet,CIDm00156418,,,unmapped
419,420,balsalazide,CIDm05362070,,,unmapped
420,421,sulfamethoxazole.and.trimethoprim,CIDm00358641,,,unmapped
421,422,minocycline,CIDm26275995,,,unmapped
422,423,guanfacine,CIDm00003519,,,unmapped
423,424,isosorbide.mononitrate,CIDm00027661,,,unmapped
424,425,mycophenolic.acid,CIDm00446541,,,unmapped
425,426,amlexanox,CIDm00002161,,,unmapped
426,427,irbesartan,CIDm00003749,,,unmapped
427,428,topotecan,CIDm00060699,,,unmapped
428,429,tolterodine,CIDm00060774,,,unmapped
429,430,selegiline,CIDm00026757,,,unmapped
430,431,fenofibrate,CIDm00003339,,,unmapped
431,432,thalidomide,CIDm00005426,,,unmapped
432,433,melphalan,CIDm00460612,,,unmapped
433,434,memantine,CIDm00004054,,,unmapped
434,435,gatifloxacin,CIDm00005379,,,unmapped
435,436,lubiprostone,CIDm00157920,,,unmapped
436,437,fluocinonide,CIDm00009642,,,unmapped
437,438,abacavir,CIDm00065139,,,unmapped
438,439,ibuprofen,CIDm00003672,,,unmapped
439,440,norfloxacin,CIDm00004539,,,unmapped
440,441,amoxicillin,CIDm00033613,,,unmapped
441,442,oxybutynin,CIDm00004634,,,unmapped
442,443,glipizide,CIDm00003478,,,unmapped
443,444,clonazepam,CIDm00002802,,,unmapped
444,445,atazanavir,CIDm00148192,,,unmapped
445,446,fludarabine,CIDm00657237,,,unmapped
446,447,atorvastatin,CIDm00060822,,,unmapped
447,448,tegaserod,CIDm05487301,,,unmapped
448,449,vigabatrin,CIDm00005665,,,unmapped
449,450,streptomycin,CIDm06419957,,,unmapped
450,451,orlistat,CIDm03034010,,,unmapped
451,452,pilocarpine,CIDm00005909,,,unmapped
452,453,iloprost,CIDm06435378,,,unmapped
453,454,fluvastatin,CIDm00446155,,,unmapped
454,455,leflunomide,CIDm00003899,,,unmapped
455,456,rosuvastatin,CIDm00446157,,,unmapped
456,457,pimozide,CIDm00016362,,,unmapped
457,458,capecitabine,CIDm00060953,,,unmapped
458,459,sertraline,CIDm00063009,,,unmapped
459,460,heparin,CIDm00000772,,,unmapped
460,461,miconazole,CIDm00004189,,,unmapped
461,462,nifedipine,CIDm00004485,,,unmapped
462,463,atovaquone,CIDm00074989,,,unmapped
463,464,amiodarone,CIDm00002156,,,unmapped
464,465,gliclazide,CIDm00003475,,,unmapped
465,466,bicalutamide,CIDm00002375,,,unmapped
466,467,rabeprazole,CIDm00005029,,,unmapped
467,468,pioglitazone,CIDm00004829,,,unmapped
468,469,carvedilol,CIDm00002585,,,unmapped
469,470,levofloxacin,CIDm00149096,,,unmapped
470,471,micafungin,CIDm06602291,,,unmapped
471,472,doxepin,CIDm00003158,,,unmapped
472,473,nefazodone,CIDm00004449,,,unmapped
473,474,cefprozil,CIDm05281006,,,unmapped
474,475,gemifloxacin,CIDm09571107,,,unmapped
475,476,bupropion,CIDm00000444,,,unmapped
476,477,trimetrexate,CIDm00005582,,,unmapped
477,478,terazosin,CIDm00005401,,,unmapped
478,479,ofloxacin,CIDm00004583,,,unmapped
479,480,cilostazol,CIDm00002754,,,unmapped
480,481,itraconazole,CIDm00055283,,,unmapped
481,482,arsenic.trioxide,CIDm00014888,,,unmapped
482,483,escitalopram,CIDm00146570,,,unmapped
483,484,idarubicin,CIDm00042890,,,unmapped
484,485,podophyllotoxin,CIDm00010607,,,unmapped
485,486,rescinnamine,CIDm05280954,,,unmapped
486,487,ifosfamide,CIDm00003690,,,unmapped
487,488,propafenone,CIDm00004932,,,unmapped
488,489,pergolide,CIDm00047811,,,unmapped
489,490,ciclopirox,CIDm00002749,,,unmapped
490,491,desflurane,CIDm00042113,,,unmapped
491,492,clindamycin,CIDm00029029,,,unmapped
492,493,acebutolol,CIDm00001978,,,unmapped
493,494,brinzolamide,CIDm00068844,,,unmapped
494,495,flecainide,CIDm00003355,,,unmapped
495,496,estramustine,CIDm00259331,,,unmapped
496,497,bromocriptine,CIDm00031100,,,unmapped
497,498,levetiracetam,CIDm05284583,,,unmapped
498,499,nadolol,CIDm00039147,,,unmapped
499,500,mitoxantrone,CIDm00004212,,,unmapped
500,501,sparfloxacin,CIDm00060464,,,unmapped
501,502,clarithromycin,CIDm00084029,,,unmapped
502,503,ceftriaxone,CIDm05479530,,,unmapped
503,504,estazolam,CIDm00003261,,,unmapped
504,505,finasteride,CIDm00057363,,,unmapped
505,506,anastrozole,CIDm00002187,,,unmapped
506,507,halofantrine,CIDm00037392,,,unmapped
507,508,dantrolene,CIDm06604100,,,unmapped
508,509,rifaximin,CIDm06436173,,,unmapped
509,510,budesonide,CIDm05281004,,,unmapped
510,511,aminophylline,CIDm00009433,,,unmapped
511,512,quetiapine,CIDm00005002,,,unmapped
512,513,paclitaxel,CIDm05352019,,,unmapped
513,514,saquinavir,CIDm00060934,,,unmapped
514,515,dexamethasone,CIDm00005743,,,unmapped
515,516,levodopa,CIDm00441193,,,unmapped
516,517,aripiprazole,CIDm00060795,,,unmapped
517,518,epoprostenol,CIDm05282411,,,unmapped
518,519,gemfibrozil,CIDm00003463,,,unmapped
519,520,clomipramine,CIDm00002801,,,unmapped
520,521,bepridil,CIDm00002351,,,unmapped
521,522,docetaxel,CIDm00064780,,,unmapped
522,523,iodixanol,CIDm00003724,,,unmapped
523,524,olsalazine,CIDm05462337,,,unmapped
524,525,dasatinib,CIDm03062316,,,unmapped
525,526,lisdexamfetamine,CIDm11597697,,,unmapped
526,527,lapatinib,CIDm00208908,,,unmapped
527,528,desonide,CIDm00012536,,,unmapped
528,529,sitagliptin,CIDm04369359,,,unmapped
529,530,decitabine,CIDm00451668,,,unmapped
530,531,posaconazole,CIDm00468595,,,unmapped
531,532,darunavir,CIDm00213039,,,unmapped
532,533,telbivudine,CIDm00159269,,,unmapped
533,534,paliperidone,CIDm00115237,,,unmapped
534,535,sunitinib,CIDm05329102,,,unmapped
535,536,varenicline,CIDm00170361,,,unmapped
536,537,hydralazine,CIDm00003637,,,unmapped
537,538,exenatide,CIDm16157882,,,unmapped
538,539,nelarabine,CIDm03011155,,,unmapped
539,540,corticotropin,CIDm16132265,,,unmapped
540,541,pirbuterol,CIDm00004845,,,unmapped
541,542,insulin.aspart,CIDm16132418,,,unmapped
542,543,insulin.detemir,CIDm16137271,,,unmapped
543,544,fosamprenavir,CIDm00131535,,,unmapped
544,545,fosphenytoin,CIDm00056338,,,unmapped
545,546,cilazapril,CIDm00056329,,,unmapped
546,547,penbutolol,CIDm00037464,,,unmapped
547,548,iohexol,CIDm00003730,,,unmapped
