matrix_index,side_effect_name,candidate_count,meddra_candidate_count,hpo_candidate_count,preferred_meddra_id,candidate_ids,mapping_status
200,congenital eye disorder,0,0,0,"",[],unmatched
201,conjunctival haemorrhage,0,0,0,"",[],unmatched
202,congestion conjunctival,0,0,0,"",[],unmatched
203,conjunctival oedema,0,0,0,"",[],unmatched
205,conjunctivitis allergic,0,0,0,"",[],unmatched
206,connective tissue disorder,0,0,0,"",[],unmatched
209,conversion disorder,0,0,0,"",[],unmatched
210,coordination abnormal,0,0,0,"",[],unmatched
212,corneal lesion,0,0,0,"",[],unmatched
214,coronary artery disease,0,0,0,"",[],unmatched
216,regional enteritis of unspecified site,0,0,0,"",[],unmatched
217,crying,0,0,0,"",[],unmatched
218,cushing syndrome,0,0,0,"",[],unmatched
220,cyst,0,0,0,"",[],unmatched
221,cystitis,0,0,0,"",[],unmatched
222,cystitis haemorrhagic,0,0,0,"",[],unmatched
223,cystitis non infective,0,0,0,"",[],unmatched
231,dental caries,0,0,0,"",[],unmatched
232,depressed level of consciousness,0,0,0,"",[],unmatched
233,depressed mood,0,0,0,"",[],unmatched
235,feeling unreal,0,0,0,"",[],unmatched
237,dermatitis acne,0,0,0,"",[],unmatched
238,dermatitis atopic,0,0,0,"",[],unmatched
239,dermatitis bullous,0,0,0,"",[],unmatched
240,dermatitis contact,0,0,0,"",[],unmatched
241,dermatitis exfoliating,0,0,0,"",[],unmatched
244,diarrhoea haemorrhagic,0,0,0,"",[],unmatched
246,discomfort,0,0,0,"",[],unmatched
249,disturbance in attention,0,0,0,"",[],unmatched
250,disturbance in sexual arousal,0,0,0,"",[],unmatched
251,diverticulitis,0,0,0,"",[],unmatched
253,dizziness postural,0,0,0,"",[],unmatched
254,drug eruption,0,0,0,"",[],unmatched
255,drug hypersensitivity,0,0,0,"",[],unmatched
256,drug ineffective,0,0,0,"",[],unmatched
257,dry eye,0,0,0,"",[],unmatched
260,dry throat,0,0,0,"",[],unmatched
262,duodenal inflammation,0,0,0,"",[],unmatched
265,bad taste,0,0,0,"",[],unmatched
267,menses painful,0,0,0,"",[],unmatched
273,air hunger,0,0,0,"",[],unmatched
274,air hunger exertional,0,0,0,"",[],unmatched
275,urinary spray,0,0,0,"",[],unmatched
276,ear disorder,0,0,0,"",[],unmatched
277,ear infection,0,0,0,"",[],unmatched
279,bruise,0,0,0,"",[],unmatched
281,ejaculation delayed,0,0,0,"",[],unmatched
282,ejaculation disorder,0,0,0,"",[],unmatched
283,ejaculation failure,0,0,0,"",[],unmatched
284,electrocardiogram abnormal,0,0,0,"",[],unmatched
285,electrocardiogram qt prolonged,0,0,0,"",[],unmatched
286,electrocardiogram st segment depression,0,0,0,"",[],unmatched
288,electrolyte imbalance,0,0,0,"",[],unmatched
289,embolism,0,0,0,"",[],unmatched
290,embolism venous,0,0,0,"",[],unmatched
291,emotional disorder,0,0,0,"",[],unmatched
295,endometrial disorder,0,0,0,"",[],unmatched
296,ophthalmia,0,0,0,"",[],unmatched
297,enteritis,0,0,0,"",[],unmatched
302,epigastric discomfort,0,0,0,"",[],unmatched
305,gas raising,0,0,0,"",[],unmatched
309,erythema of eyelid,0,0,0,"",[],unmatched
311,excoriation,0,0,0,"",[],unmatched
313,bone spur,0,0,0,"",[],unmatched
314,extrapyramidal disorder,0,0,0,"",[],unmatched
315,cardiac complex,0,0,0,"",[],unmatched
316,extravasation,0,0,0,"",[],unmatched
317,eye discharge,0,0,0,"",[],unmatched
318,eye disorder,0,0,0,"",[],unmatched
319,eye haemorrhage,0,0,0,"",[],unmatched
320,eye infection,0,0,0,"",[],unmatched
321,eye irritation,0,0,0,"",[],unmatched
322,eye oedema,0,0,0,"",[],unmatched
324,eye pruritus,0,0,0,"",[],unmatched
325,eye swelling,0,0,0,"",[],unmatched
326,eyelid oedema,0,0,0,"",[],unmatched
327,face oedema,0,0,0,"",[],unmatched
328,fecal impaction,0,0,0,"",[],unmatched
329,fecal impaction causing obstruction,0,0,0,"",[],unmatched
330,faeces discoloured,0,0,0,"",[],unmatched
331,fasting,0,0,0,"",[],unmatched
334,feeling abnormal,0,0,0,"",[],unmatched
335,feeling cold,0,0,0,"",[],unmatched
336,feeling drunk,0,0,0,"",[],unmatched
337,feeling hot,0,0,0,"",[],unmatched
338,feeling jittery,0,0,0,"",[],unmatched
339,fibrocystic breast disease,0,0,0,"",[],unmatched
341,flat affect,0,0,0,"",[],unmatched
343,fluid overload,0,0,0,"",[],unmatched
346,halitosis of liver disease,0,0,0,"",[],unmatched
349,functional gastrointestinal disorder,0,0,0,"",[],unmatched
350,fungal infection,0,0,0,"",[],unmatched
351,fungal skin infection,0,0,0,"",[],unmatched
352,boil in nose,0,0,0,"",[],unmatched
354,female lactation,0,0,0,"",[],unmatched
355,gamma glutamine transfer enzyme increased,0,0,0,"",[],unmatched
363,gastrointestinal infection,0,0,0,"",[],unmatched
365,gastrointestinal perforation,0,0,0,"",[],unmatched
367,esophageal reflux,0,0,0,"",[],unmatched
368,generalised oedema,0,0,0,"",[],unmatched
369,genital candidiasis,0,0,0,"",[],unmatched
371,gingival pain,0,0,0,"",[],unmatched
375,burning tongue,0,0,0,"",[],unmatched
376,glucose tolerance impaired,0,0,0,"",[],unmatched
377,diabetes,0,0,0,"",[],unmatched
380,gravitational oedema,0,0,0,"",[],unmatched
381,breast enlargement male,0,0,0,"",[],unmatched
382,emesis bloody,0,0,0,"",[],unmatched
384,packed cell volume decreased,0,0,0,"",[],unmatched
385,haematoma,0,0,0,"",[],unmatched
386,urinary tract bleed microscopic,0,0,0,"",[],unmatched
387,haemoglobin,0,0,0,"",[],unmatched
388,haemoglobin decreased,0,0,0,"",[],unmatched
389,haemolytic anaemia,0,0,0,"",[],unmatched
390,haemolytic uremia syndrome,0,0,0,"",[],unmatched
391,blood streaked sputum,0,0,0,"",[],unmatched
392,haemorrhage,0,0,0,"",[],unmatched
393,haemorrhage intracranial,0,0,0,"",[],unmatched
394,haemorrhagic disorder,0,0,0,"",[],unmatched
396,hair colour changes,0,0,0,"",[],unmatched
397,hair disorder,0,0,0,"",[],unmatched
398,hair texture abnormal,0,0,0,"",[],unmatched
400,hangover,0,0,0,"",[],unmatched
403,hepatic cancer,0,0,0,"",[],unmatched
404,hepatic enzyme increased,0,0,0,"",[],unmatched
406,hepatic function abnormal,0,0,0,"",[],unmatched
410,hepatitis cholestasis,0,0,0,"",[],unmatched
411,hepatobiliary disease,0,0,0,"",[],unmatched
412,hepatocellular injury,0,0,0,"",[],unmatched
414,hepatotoxicity,0,0,0,"",[],unmatched
417,herpes virus infection,0,0,0,"",[],unmatched
418,herpes zoster,0,0,0,"",[],unmatched
420,hiccups,0,0,0,"",[],unmatched
422,hostility,0,0,0,"",[],unmatched
425,venous congestion,0,0,0,"",[],unmatched
426,allodynia mechanical,0,0,0,"",[],unmatched
427,bilirubin blood,0,0,0,"",[],unmatched
428,high calcium blood,0,0,0,"",[],unmatched
429,high calcium urine,0,0,0,"",[],unmatched
430,high cholesterol blood,0,0,0,"",[],unmatched
433,high potassium blood,0,0,0,"",[],unmatched
435,movement function hyperactivity,0,0,0,"",[],unmatched
436,high lactic acid blood,0,0,0,"",[],unmatched
437,high levels of lipids,0,0,0,"",[],unmatched
438,high magnesium blood,0,0,0,"",[],unmatched
439,salt retention,0,0,0,"",[],unmatched
440,pain allergy,0,0,0,"",[],unmatched
441,high phosphorus blood,0,0,0,"",[],unmatched
442,exaggerated reflexes,0,0,0,"",[],unmatched
444,sleep excessive,0,0,0,"",[],unmatched
447,tone increased,0,0,0,"",[],unmatched
449,high glycerin three ester blood,0,0,0,"",[],unmatched
450,high uric acid blood,0,0,0,"",[],unmatched
452,body numbness,0,0,0,"",[],unmatched
453,body numbness oral,0,0,0,"",[],unmatched
454,low albumin blood,0,0,0,"",[],unmatched
455,low calcium blood,0,0,0,"",[],unmatched
456,low chlorine blood,0,0,0,"",[],unmatched
457,chlorosis,0,0,0,"",[],unmatched
459,drenching sweats,0,0,0,"",[],unmatched
460,potassium deficiency,0,0,0,"",[],unmatched
461,activity motor retarded,0,0,0,"",[],unmatched
462,low magnesium blood,0,0,0,"",[],unmatched
463,hypomania,0,0,0,"",[],unmatched
464,low sodium blood,0,0,0,"",[],unmatched
465,phosphorus low blood,0,0,0,"",[],unmatched
466,potassium deficiency,0,0,0,"",[],unmatched
467,diminished reflexes,0,0,0,"",[],unmatched
475,ileus paralytic,0,0,0,"",[],unmatched
476,ill-defined disorder,0,0,0,"",[],unmatched
478,impaired gastric emptying,0,0,0,"",[],unmatched
479,impaired healing,0,0,0,"",[],unmatched
480,impetigo,0,0,0,"",[],unmatched
482,incontinence,0,0,0,"",[],unmatched
484,increased bronchial secretion,0,0,0,"",[],unmatched
485,increased tendency to bruise,0,0,0,"",[],unmatched
486,hardening,0,0,0,"",[],unmatched
487,infarction,0,0,0,"",[],unmatched
489,infestation,0,0,0,"",[],unmatched
490,inflammation,0,0,0,"",[],unmatched
492,influenza like illness,0,0,0,"",[],unmatched
493,infusion site pain,0,0,0,"",[],unmatched
494,infusion site reaction,0,0,0,"",[],unmatched
495,injection site bruising,0,0,0,"",[],unmatched
496,injection site erythema,0,0,0,"",[],unmatched
497,injection site haemorrhage,0,0,0,"",[],unmatched
498,injection site hardening,0,0,0,"",[],unmatched
499,injection site inflammation,0,0,0,"",[],unmatched
500,injection site pain,0,0,0,"",[],unmatched
501,injection site pruritus,0,0,0,"",[],unmatched
503,injection site swelling,0,0,0,"",[],unmatched
504,injury,0,0,0,"",[],unmatched
506,instillation site pain,0,0,0,"",[],unmatched
508,international normalised ratio increased,0,0,0,"",[],unmatched
512,intracranial pressure increased,0,0,0,"",[],unmatched
513,intraocular pressure increased,0,0,0,"",[],unmatched
514,iris inflammation,0,0,0,"",[],unmatched
517,irritable bowel syndrome,0,0,0,"",[],unmatched
518,ischaemia,0,0,0,"",[],unmatched
520,obstructive jaundice,0,0,0,"",[],unmatched
525,laboratory test abnormal,0,0,0,"",[],unmatched
526,inner ear infection,0,0,0,"",[],unmatched
527,laceration,0,0,0,"",[],unmatched
528,lacrimal disorder,0,0,0,"",[],unmatched
529,lacrimal structural disorder,0,0,0,"",[],unmatched
530,lacrimation increased,0,0,0,"",[],unmatched
532,laryngeal oedema,0,0,0,"",[],unmatched
533,laryngeal pain,0,0,0,"",[],unmatched
534,laryngitis,0,0,0,"",[],unmatched
535,laryngeal spasm,0,0,0,"",[],unmatched
540,libido decreased,0,0,0,"",[],unmatched
541,libido disorder,0,0,0,"",[],unmatched
542,libido increased,0,0,0,"",[],unmatched
543,mossy keratosis,0,0,0,"",[],unmatched
544,ligament sprain,0,0,0,"",[],unmatched
545,lipase increased,0,0,0,"",[],unmatched
546,lipodystrophy acquired,0,0,0,"",[],unmatched
547,liver disorder,0,0,0,"",[],unmatched
548,liver function test abnormal,0,0,0,"",[],unmatched
549,liver injury,0,0,0,"",[],unmatched
550,local swelling,0,0,0,"",[],unmatched
552,loss of libido,0,0,0,"",[],unmatched
554,lung disorder,0,0,0,"",[],unmatched
555,lung infection,0,0,0,"",[],unmatched
556,lung infiltration,0,0,0,"",[],unmatched
558,lymphocyte count decreased,0,0,0,"",[],unmatched
559,lymphocyte excess,0,0,0,"",[],unmatched
560,lymph edema,0,0,0,"",[],unmatched
561,lymph tumor,0,0,0,"",[],unmatched
562,lymph cell cut back,0,0,0,"",[],unmatched
563,major depression,0,0,0,"",[],unmatched
565,malignant melanoma,0,0,0,"",[],unmatched
569,mediastinal disorder,0,0,0,"",[],unmatched
570,blood clot excretion,0,0,0,"",[],unmatched
571,melanosis,0,0,0,"",[],unmatched
574,menopausal symptoms,0,0,0,"",[],unmatched
575,menopause,0,0,0,"",[],unmatched
577,menstrual disorder,0,0,0,"",[],unmatched
578,menstruation irregular,0,0,0,"",[],unmatched
579,mental disability,0,0,0,"",[],unmatched
580,mental disorder,0,0,0,"",[],unmatched
582,break through bleeding,0,0,0,"",[],unmatched
583,urination disorder,0,0,0,"",[],unmatched
584,urination urgency,0,0,0,"",[],unmatched
587,single core cell increase,0,0,0,"",[],unmatched
589,motion sickness,0,0,0,"",[],unmatched
590,mouth ulceration,0,0,0,"",[],unmatched
592,mucosal inflammation,0,0,0,"",[],unmatched
593,mucous membrane disorder,0,0,0,"",[],unmatched
596,muscle contractions involuntary,0,0,0,"",[],unmatched
597,muscle relaxant therapy,0,0,0,"",[],unmatched
600,muscle tightness,0,0,0,"",[],unmatched
601,muscle twitching,0,0,0,"",[],unmatched
603,musculoskeletal chest pain,0,0,0,"",[],unmatched
604,musculoskeletal discomfort,0,0,0,"",[],unmatched
606,musculoskeletal stiffness,0,0,0,"",[],unmatched
611,myocardial ischaemia,0,0,0,"",[],unmatched
616,nail disorder,0,0,0,"",[],unmatched
618,nasal discomfort,0,0,0,"",[],unmatched
620,nose pharynx inflammation,0,0,0,"",[],unmatched
624,neoplasm malignant,0,0,0,"",[],unmatched
626,calculus kidney,0,0,0,"",[],unmatched
628,nephropathy toxic,0,0,0,"",[],unmatched
631,nervousness,0,0,0,"",[],unmatched
634,neuroleptic malignant syndrome,0,0,0,"",[],unmatched
636,neurosis,0,0,0,"",[],unmatched
637,neurotoxicity,0,0,0,"",[],unmatched
639,neutrophil deficiency,0,0,0,"",[],unmatched
640,neutrophil count decreased,0,0,0,"",[],unmatched
641,night blindness,0,0,0,"",[],unmatched
643,nightmare,0,0,0,"",[],unmatched
644,nocturnal enuresis,0,0,0,"",[],unmatched
645,nodal arrhythmia,0,0,0,"",[],unmatched
646,nodule,0,0,0,"",[],unmatched
647,non cardiac chest pain,0,0,0,"",[],unmatched
648,non hodgkin lymphoma,0,0,0,"",[],unmatched
651,ocular discomfort,0,0,0,"",[],unmatched
652,ocular venous congestion,0,0,0,"",[],unmatched
653,oculomotor spasm,0,0,0,"",[],unmatched
654,swallowing painful,0,0,0,"",[],unmatched
656,oedema peripheral,0,0,0,"",[],unmatched
657,oesophageal spasm,0,0,0,"",[],unmatched
658,oesophageal stenosis,0,0,0,"",[],unmatched
659,oesophageal ulcer,0,0,0,"",[],unmatched
660,esophagus inflammation,0,0,0,"",[],unmatched
661,urine less,0,0,0,"",[],unmatched
666,oral candidiasis,0,0,0,"",[],unmatched
667,oral herpes,0,0,0,"",[],unmatched
668,oral pain,0,0,0,"",[],unmatched
669,testis inflammation non infective,0,0,0,"",[],unmatched
670,orgasm abnormal,0,0,0,"",[],unmatched
671,oropharyngeal discomfort,0,0,0,"",[],unmatched
680,ear toxicity,0,0,0,"",[],unmatched
682,ovarian disorder,0,0,0,"",[],unmatched
685,pain in jaw,0,0,0,"",[],unmatched
686,pain of skin,0,0,0,"",[],unmatched
690,pancreatitis acute,0,0,0,"",[],unmatched
693,panic reaction,0,0,0,"",[],unmatched
694,eyelid inflammation,0,0,0,"",[],unmatched
695,nipple edema,0,0,0,"",[],unmatched
696,feeling abnormal,0,0,0,"",[],unmatched
697,feeling abnormal oral,0,0,0,"",[],unmatched
700,paresis,0,0,0,"",[],unmatched
702,disturbances of sensation of smell and taste,0,0,0,"",[],unmatched
704,penis disorder,0,0,0,"",[],unmatched
708,perineal pain,0,0,0,"",[],unmatched
710,periorbital oedema,0,0,0,"",[],unmatched
711,peripheral coldness,0,0,0,"",[],unmatched
712,peripheral ischaemia,0,0,0,"",[],unmatched
713,peripheral motor neuropathy,0,0,0,"",[],unmatched
715,peripheral vascular disorder,0,0,0,"",[],unmatched
719,pharyngeal oedema,0,0,0,"",[],unmatched
721,pharyngitis streptococcal,0,0,0,"",[],unmatched
722,phlebitis,0,0,0,"",[],unmatched
724,flash vision,0,0,0,"",[],unmatched
725,photosensitivity reaction,0,0,0,"",[],unmatched
726,pigmentation disorder,0,0,0,"",[],unmatched
727,plasma cell myeloma,0,0,0,"",[],unmatched
728,tumor plasma cell,0,0,0,"",[],unmatched
729,platelet count decreased,0,0,0,"",[],unmatched
732,pleural pain,0,0,0,"",[],unmatched
734,pneumonia aspiration,0,0,0,"",[],unmatched
736,urinary frequency increased,0,0,0,"",[],unmatched
737,increase in the total amount of red blood cells in the blood,0,0,0,"",[],unmatched
741,post procedural haemorrhage,0,0,0,"",[],unmatched
742,premenstrual syndrome,0,0,0,"",[],unmatched
743,syncope vertigo,0,0,0,"",[],unmatched
745,procedural pain,0,0,0,"",[],unmatched
747,rectum inflammation,0,0,0,"",[],unmatched
750,prostatic disorder,0,0,0,"",[],unmatched
752,protein total decreased,0,0,0,"",[],unmatched
753,protein urine present,0,0,0,"",[],unmatched
755,prothrombin level decreased,0,0,0,"",[],unmatched
756,prothrombin level increased,0,0,0,"",[],unmatched
757,itch rash,0,0,0,"",[],unmatched
759,pruritus generalised,0,0,0,"",[],unmatched
760,pruritus genital,0,0,0,"",[],unmatched
761,falsehood lymph tumor,0,0,0,"",[],unmatched
762,pseudomembranous colitis,0,0,0,"",[],unmatched
763,psoriasis,0,0,0,"",[],unmatched
764,psychomotor retardation,0,0,0,"",[],unmatched
765,psychotic disorder,0,0,0,"",[],unmatched
766,pulmonary congestion,0,0,0,"",[],unmatched
769,pulmonary function test decreased,0,0,0,"",[],unmatched
770,pulmonary hypertension,0,0,0,"",[],unmatched
771,pulmonary oedema,0,0,0,"",[],unmatched
773,pupils unequal,0,0,0,"",[],unmatched
776,urine purulent,0,0,0,"",[],unmatched
777,rales,0,0,0,"",[],unmatched
779,rash erythematous,0,0,0,"",[],unmatched
780,rash generalised,0,0,0,"",[],unmatched
781,rash macular,0,0,0,"",[],unmatched
782,macula papules rash,0,0,0,"",[],unmatched
783,rash papular,0,0,0,"",[],unmatched
784,rash pustular,0,0,0,"",[],unmatched
785,rectal haemorrhage,0,0,0,"",[],unmatched
786,defecation urge painful,0,0,0,"",[],unmatched
787,regurgitation,0,0,0,"",[],unmatched
790,renal pain,0,0,0,"",[],unmatched
791,renal tubular necrosis,0,0,0,"",[],unmatched
792,respiration abnormal,0,0,0,"",[],unmatched
794,respiratory disorder,0,0,0,"",[],unmatched
797,respiratory tract congestion,0,0,0,"",[],unmatched
799,restless legs syndrome,0,0,0,"",[],unmatched
800,retching,0,0,0,"",[],unmatched
803,retinal disorder,0,0,0,"",[],unmatched
805,retroperitoneal haemorrhage,0,0,0,"",[],unmatched
809,rhinitis allergic,0,0,0,"",[],unmatched
810,mucous nasal increased,0,0,0,"",[],unmatched
811,dry rales,0,0,0,"",[],unmatched
812,road traffic accident,0,0,0,"",[],unmatched
813,rosacea,0,0,0,"",[],unmatched
814,salivary gland enlargement,0,0,0,"",[],unmatched
815,increased salivation,0,0,0,"",[],unmatched
816,oviduct inflammation,0,0,0,"",[],unmatched
817,scab,0,0,0,"",[],unmatched
818,reaction schizoid,0,0,0,"",[],unmatched
820,sclera inflammation,0,0,0,"",[],unmatched
824,sensation of foreign body,0,0,0,"",[],unmatched
825,sensory disturbance,0,0,0,"",[],unmatched
826,sensory loss,0,0,0,"",[],unmatched
828,septic shock,0,0,0,"",[],unmatched
830,serum sickness,0,0,0,"",[],unmatched
831,sexual dysfunction,0,0,0,"",[],unmatched
833,salivary glands inflammation,0,0,0,"",[],unmatched
835,sinus congestion,0,0,0,"",[],unmatched
836,sinus headache,0,0,0,"",[],unmatched
839,skin atrophy,0,0,0,"",[],unmatched
840,skin burning sensation,0,0,0,"",[],unmatched
841,skin cancer,0,0,0,"",[],unmatched
842,skin discolouration,0,0,0,"",[],unmatched
843,skin disorder,0,0,0,"",[],unmatched
844,skin exfoliation,0,0,0,"",[],unmatched
846,skin hypertrophy,0,0,0,"",[],unmatched
848,skin irritation,0,0,0,"",[],unmatched
849,skin lesion,0,0,0,"",[],unmatched
850,skin mass,0,0,0,"",[],unmatched
851,skin odour abnormal,0,0,0,"",[],unmatched
852,skin papilloma,0,0,0,"",[],unmatched
855,sleep apnoea syndrome,0,0,0,"",[],unmatched
856,sleep disorder,0,0,0,"",[],unmatched
857,sluggishness,0,0,0,"",[],unmatched
858,sneezing,0,0,0,"",[],unmatched
862,speech disorder,0,0,0,"",[],unmatched
864,sputum increased,0,0,0,"",[],unmatched
865,staphylococcal infection,0,0,0,"",[],unmatched
867,stevens johnson syndrome,0,0,0,"",[],unmatched
868,sticky skin,0,0,0,"",[],unmatched
870,bladder and urethral symptoms,0,0,0,"",[],unmatched
873,subarachnoid haemorrhage,0,0,0,"",[],unmatched
877,suicide attempt,0,0,0,"",[],unmatched
878,sunburn,0,0,0,"",[],unmatched
879,ectopic beats atrial,0,0,0,"",[],unmatched
881,swelling,0,0,0,"",[],unmatched
882,swelling face,0,0,0,"",[],unmatched
886,respiration stimulated,0,0,0,"",[],unmatched
889,temperature intolerance,0,0,0,"",[],unmatched
890,tenderness,0,0,0,"",[],unmatched
891,tendinous contracture,0,0,0,"",[],unmatched
892,tendon disorder,0,0,0,"",[],unmatched
894,tendon sheath inflammation,0,0,0,"",[],unmatched
895,tension,0,0,0,"",[],unmatched
896,tension headache,0,0,0,"",[],unmatched
899,therapeutic response unexpected,0,0,0,"",[],unmatched
900,thinking abnormal,0,0,0,"",[],unmatched
902,throat irritation,0,0,0,"",[],unmatched
903,throat tightness,0,0,0,"",[],unmatched
905,platelets increase,0,0,0,"",[],unmatched
908,thrombotic thrombocytopenic purpura,0,0,0,"",[],unmatched
909,thyroid disorder,0,0,0,"",[],unmatched
910,thyroid neoplasm,0,0,0,"",[],unmatched
913,tongue discolouration,0,0,0,"",[],unmatched
914,tongue disorder,0,0,0,"",[],unmatched
915,tongue oedema,0,0,0,"",[],unmatched
916,tongue ulceration,0,0,0,"",[],unmatched
919,tooth disorder,0,0,0,"",[],unmatched
920,tooth infection,0,0,0,"",[],unmatched
